ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,3,10,1,.500,2,.667,15,5,.833,6,30:30,1,1,+20,26,1,0,4
2,1,4,11,1,.333,3,.611,18,3,.600,5,28:55,1,2,+19,26,3,1,5
10,0,8,2,0,,0,.400,5,2,.667,3,25:40,0,2,+26,6,2,1,8
1,1,2,4,0,,0,.364,11,2,1.000,2,22:51,3,1,+27,10,0,2,5
1,2,6,4,0,,0,.800,5,4,.800,5,22:07,0,2,+11,12,0,3,6
1,0,5,2,2,.286,7,.222,9,2,1.000,2,25:47,0,1,+12,8,1,2,5
2,0,2,2,1,.333,3,.400,5,1,.333,3,25:13,1,0,+1,6,2,2,3
0,0,3,2,1,.200,5,.222,9,0,,0,22:20,0,2,-10,5,1,0,3
3,0,3,3,0,.000,1,.500,6,0,,0,18:36,2,3,+5,6,0,0,5
1,1,2,0,0,,0,.000,5,0,,0,7:13,3,1,-12,0,0,0,5
0,0,1,0,0,,0,.000,2,0,,0,7:13,0,2,-12,0,0,1,1
0,0,1,0,0,,0,,0,0,,0,3:35,0,0,-7,0,0,0,1
,,,,,,,,,,,,,,,,,,,
