ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,8,8,0,.000,3,.444,18,10,.833,12,35:40,1,3,-10,26,2,3,9
1,1,3,5,0,,0,.625,8,1,.500,2,27:00,1,3,-23,11,0,2,4
0,1,2,7,0,,0,.583,12,1,.500,2,25:44,5,4,-11,15,0,2,7
2,0,1,1,0,.000,1,.250,4,0,,0,23:55,1,2,-21,2,1,5,2
0,0,5,0,0,.000,2,.000,4,0,,0,13:05,0,1,-24,0,0,1,5
1,0,3,4,1,.500,2,.667,6,1,1.000,1,28:35,0,1,-5,10,1,2,3
1,1,1,3,0,,0,.500,6,0,,0,25:27,0,3,-6,6,0,2,1
0,1,4,1,1,.500,2,.250,4,1,.500,2,20:18,1,4,-2,4,0,3,5
0,0,3,2,1,.333,3,.400,5,0,,0,19:32,0,0,-8,5,0,0,3
0,1,2,1,0,,0,.333,3,1,.500,2,14:41,2,0,-3,3,0,0,4
0,0,0,0,0,,0,.000,1,0,,0,4:17,0,1,-7,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,1:46,0,0,-5,0,0,0,0
,,,,,,,,,,,,,,,,,,,
