ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,1,4,11,2,.500,4,.579,19,2,1.000,2,39:12,0,2,-9,26,0,2,4
1,2,5,3,0,,0,.375,8,0,,0,32:44,4,4,-4,6,0,0,9
10,0,7,3,1,.333,3,.300,10,0,,0,32:32,2,1,-8,7,2,5,9
0,2,2,4,0,,0,.400,10,2,1.000,2,29:57,1,1,-6,10,0,0,3
2,0,6,5,0,.000,1,.313,16,2,1.000,2,26:10,1,2,-9,12,2,1,7
1,0,4,5,3,.429,7,.417,12,2,1.000,2,33:28,0,3,-10,15,0,1,4
0,1,5,5,1,.143,7,.313,16,0,,0,19:27,5,2,-9,11,1,0,10
0,0,2,0,0,,0,.000,2,0,.000,2,13:52,4,4,-5,0,0,0,6
2,0,0,2,0,,0,.667,3,0,,0,12:38,0,1,0,4,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
