ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,0,5,3,1,.333,3,.250,12,9,.750,12,39:47,0,1,+2,16,2,2,5
5,2,2,8,0,.000,4,.421,19,5,1.000,5,32:30,1,1,+11,21,2,2,3
0,1,7,4,0,,0,.500,8,0,.000,1,32:17,5,3,+3,8,2,3,12
5,0,5,1,0,.000,3,.167,6,0,,0,24:02,4,3,+9,2,0,2,9
0,0,2,5,0,,0,.417,12,0,,0,22:13,0,1,+7,10,1,2,2
0,0,3,7,3,.333,9,.538,13,3,.750,4,29:34,4,1,-3,20,0,0,7
0,0,2,4,2,.500,4,.571,7,0,,0,28:41,1,3,-9,10,2,1,3
2,0,5,0,0,.000,2,.000,5,1,.500,2,19:00,0,1,+2,1,1,1,5
0,0,1,0,0,,0,.000,1,2,.500,4,11:56,1,1,+3,2,0,0,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
