ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,1,5,0,,0,.500,10,4,.800,5,33:34,5,2,-7,14,1,2,6
2,0,7,4,0,.000,2,.333,12,6,.857,7,28:50,0,1,-4,14,2,3,7
1,1,8,3,1,1.000,1,.273,11,3,1.000,3,28:49,4,1,-6,10,0,0,12
6,0,2,2,1,1.000,1,.400,5,4,1.000,4,25:05,0,1,-3,9,1,5,2
1,0,1,2,0,.000,5,.182,11,0,,0,23:47,0,3,-12,4,0,1,1
2,0,2,7,5,.455,11,.467,15,0,,0,30:09,0,1,+16,19,2,1,2
6,0,4,6,0,.000,3,.462,13,0,,0,27:16,0,4,+4,12,3,2,4
0,0,5,5,3,.750,4,.625,8,0,,0,17:49,2,2,+6,13,1,1,7
0,0,1,1,0,,0,.333,3,2,1.000,2,14:26,1,3,+5,4,0,1,2
0,0,1,0,0,,0,,0,0,,0,10:15,0,0,-9,0,0,1,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
