ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,5,2,1,.333,3,.333,6,2,1.000,2,34:11,0,1,-16,7,0,0,5
3,0,3,9,0,.000,2,.450,20,4,.667,6,32:58,0,0,-12,22,2,4,3
0,0,4,4,0,,0,.500,8,4,.800,5,25:21,5,2,-20,12,0,3,9
0,2,5,5,0,,0,.500,10,0,,0,23:32,2,1,-11,10,0,1,7
2,0,3,1,0,.000,2,.125,8,1,1.000,1,16:07,1,3,-7,3,1,2,4
4,0,3,5,2,.500,4,.500,10,2,.667,3,24:52,0,1,+8,14,1,0,3
0,1,1,6,0,,0,.667,9,1,.500,2,24:28,4,0,-4,13,0,0,5
8,0,2,2,0,.000,2,.222,9,0,,0,22:56,0,2,-6,4,0,1,2
0,0,1,1,0,.000,3,.250,4,0,,0,18:41,2,1,+5,2,1,0,3
1,1,2,0,0,.000,2,.000,5,2,1.000,2,16:55,0,1,-12,2,0,1,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
