ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,0,1,6,0,.000,3,.375,16,8,.889,9,30:20,2,3,-4,20,2,2,3
3,2,5,7,1,.333,3,.438,16,3,1.000,3,28:04,1,0,-8,18,0,1,6
0,0,5,5,0,,0,.500,10,0,,0,26:00,1,1,-11,10,0,2,6
0,0,2,5,0,,0,.556,9,2,1.000,2,23:21,5,3,+2,12,0,1,7
1,0,2,1,1,.500,2,.250,4,0,,0,20:33,0,2,-5,3,2,0,2
3,0,2,1,1,.500,2,.250,4,0,,0,22:43,1,2,-17,3,0,2,3
2,2,5,1,0,,0,.200,5,1,.500,2,22:27,1,1,-14,3,0,0,6
0,0,1,4,1,.333,3,.667,6,2,1.000,2,20:24,0,1,-10,11,0,0,1
0,0,2,2,0,.000,2,.500,4,0,.000,2,15:24,0,1,-1,4,1,2,2
2,1,4,2,1,.250,4,.333,6,0,,0,13:55,0,1,-4,5,1,1,4
1,0,0,2,0,,0,.667,3,0,,0,8:09,0,1,-16,4,0,0,0
1,0,0,1,0,,0,.333,3,2,1.000,2,4:20,1,0,-1,4,1,0,1
1,0,0,0,0,,0,,0,0,,0,4:20,0,0,-1,0,0,0,0
