ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
14,0,5,8,1,1.000,1,.615,13,3,.600,5,39:02,1,1,+23,20,3,6,6
1,0,7,11,6,.667,9,.786,14,0,,0,34:50,1,2,+18,28,0,1,8
9,0,7,8,1,.500,2,.727,11,1,1.000,1,34:27,2,3,+18,18,1,3,9
2,1,4,3,1,.500,2,.429,7,3,.750,4,28:45,1,4,+12,10,0,1,5
2,1,4,9,0,,0,.692,13,0,,0,28:04,1,2,+17,18,0,0,5
2,0,3,1,1,.333,3,.200,5,0,,0,23:43,0,3,-3,3,0,1,3
0,0,2,2,0,,0,.333,6,0,,0,18:19,3,0,0,4,0,1,5
0,0,2,2,0,.000,2,.333,6,0,,0,13:10,0,0,-3,4,0,0,2
2,0,2,2,0,.000,1,.286,7,0,,0,11:56,1,1,-1,4,0,1,3
1,0,1,0,0,,0,.000,1,0,,0,4:30,0,0,-2,0,0,0,1
0,0,0,0,0,,0,.000,1,0,,0,1:37,0,0,-2,0,0,0,0
0,0,2,0,0,.000,1,.000,1,0,,0,1:37,0,0,-2,0,0,0,2
,,,,,,,,,,,,,,,,,,,
