ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,1,9,13,6,.750,8,.650,20,2,1.000,2,38:03,0,2,-10,34,1,1,9
5,0,4,7,1,.333,3,.438,16,4,1.000,4,36:26,2,2,-9,19,1,2,6
1,0,1,3,1,.333,3,.333,9,2,1.000,2,27:54,1,0,-13,9,0,1,2
3,0,1,3,0,,0,.300,10,0,,0,26:39,2,6,-16,6,2,1,3
0,0,1,2,0,,0,.500,4,2,1.000,2,21:41,0,2,+8,6,0,1,1
3,0,6,4,1,.333,3,.571,7,6,.857,7,26:40,0,2,+8,15,1,1,6
2,2,2,5,0,.000,1,.556,9,0,,0,26:17,1,3,-13,10,0,3,3
3,0,2,2,0,.000,1,.400,5,2,1.000,2,20:07,1,2,+4,6,1,2,3
3,0,1,2,0,,0,.667,3,2,.667,3,16:12,0,0,+6,6,1,2,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
