ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,2,7,2,.222,9,.304,23,1,1.000,1,42:04,1,3,-8,17,2,4,3
1,1,4,6,0,,0,.429,14,4,1.000,4,35:55,6,5,-7,16,3,3,10
4,1,8,2,0,,0,.333,6,8,1.000,8,34:49,4,3,+7,12,1,1,12
2,0,4,7,1,.333,3,.500,14,4,1.000,4,32:07,1,2,-7,19,1,1,5
0,0,2,2,2,.500,4,.333,6,2,1.000,2,28:00,1,1,-2,8,1,4,3
1,0,4,1,0,.000,2,.167,6,4,.800,5,22:01,0,0,-12,6,2,5,4
0,0,0,2,1,.250,4,.200,10,0,,0,21:56,2,0,-4,5,0,1,2
0,0,0,0,0,,0,.000,1,4,1.000,4,10:09,1,4,-5,4,0,0,1
0,0,1,1,0,.000,1,.200,5,2,1.000,2,8:48,0,0,-5,4,1,0,1
0,0,0,0,0,,0,,0,2,1.000,2,4:11,0,1,-2,2,1,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
