ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,0,8,6,4,.667,6,.500,12,2,.500,4,33:52,0,0,-13,18,0,4,8
0,3,6,3,1,.143,7,.333,9,3,1.000,3,33:23,0,1,-9,10,0,0,6
5,0,3,8,3,.429,7,.444,18,3,1.000,3,32:26,0,0,-7,22,2,2,3
2,0,5,1,0,,0,.200,5,3,.750,4,23:56,0,5,-13,5,0,0,5
0,2,5,1,0,,0,.333,3,0,,0,12:47,1,2,-9,2,0,0,6
0,0,1,4,0,.000,4,.400,10,2,.667,3,24:50,0,1,-8,10,1,1,1
1,0,1,3,0,,0,.500,6,0,,0,23:45,0,2,-16,6,0,0,1
2,0,3,4,0,.000,2,.444,9,0,,0,16:21,1,1,-9,8,0,0,4
2,0,1,0,0,,0,.000,2,6,1.000,6,13:00,0,0,-9,6,0,2,1
1,0,1,2,2,1.000,2,.667,3,2,1.000,2,6:25,0,1,+2,8,0,0,1
0,0,2,1,1,.500,2,.250,4,0,,0,6:25,0,0,+2,3,0,0,2
0,0,0,0,0,,0,.000,1,0,,0,6:25,1,0,+2,0,0,0,1
1,1,3,0,0,.000,1,.000,1,0,,0,6:25,0,0,+2,0,0,0,3
