ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,11,9,5,.556,9,.500,18,0,,0,38:01,2,4,+21,23,2,0,13
0,1,5,6,3,.375,8,.500,12,1,1.000,1,35:59,1,3,+10,16,2,3,6
6,0,2,5,2,.400,5,.417,12,0,,0,35:50,1,1,+10,12,1,4,3
3,1,6,4,1,.167,6,.235,17,6,1.000,6,34:01,0,0,+3,15,1,1,6
3,1,6,1,0,.000,1,.167,6,4,1.000,4,27:27,6,1,+16,6,2,0,12
6,0,2,4,2,.500,4,.571,7,3,1.000,3,28:38,0,0,+6,13,1,1,2
1,0,4,3,1,.250,4,.375,8,0,,0,17:55,0,0,+7,7,1,0,4
4,0,0,1,0,,0,.500,2,0,,0,12:10,0,1,+4,2,0,0,0
0,0,1,1,0,.000,1,.333,3,3,.750,4,9:59,3,3,-7,5,0,1,4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
