ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,1,8,9,8,.615,13,.500,18,5,1.000,5,43:05,0,3,-16,31,0,5,8
2,0,2,11,6,.600,10,.579,19,6,.750,8,42:55,0,2,-20,34,1,3,2
1,0,6,2,1,.333,3,.333,6,3,.750,4,39:06,0,5,-3,8,0,0,6
4,0,5,5,1,.200,5,.385,13,5,1.000,5,27:55,0,6,-2,16,0,2,5
2,0,5,1,0,,0,.333,3,0,,0,20:46,1,6,-10,2,0,1,6
2,0,5,5,1,.333,3,.500,10,8,1.000,8,36:52,1,4,+10,19,0,3,6
1,0,3,2,0,.000,1,.500,4,0,,0,22:49,3,3,-3,4,0,1,6
0,0,2,2,1,.333,3,.500,4,0,,0,14:28,0,2,+6,5,0,1,2
0,0,1,1,0,.000,2,.333,3,0,,0,10:05,0,1,+17,2,0,0,1
0,0,1,0,0,,0,,0,0,,0,6:59,0,0,+6,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
