ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,2,2,4,0,,0,.500,8,0,,0,42:11,2,4,+7,8,0,1,4
1,1,4,11,5,.455,11,.458,24,6,1.000,6,37:38,0,2,+8,33,1,3,4
3,3,10,5,1,.333,3,.625,8,3,.750,4,36:38,2,2,+1,14,0,3,12
2,0,6,5,0,.000,3,.357,14,6,1.000,6,30:37,1,3,+7,16,4,1,7
1,1,4,5,0,,0,.714,7,2,1.000,2,25:35,1,1,-2,12,0,1,5
2,0,1,2,1,.333,3,.250,8,3,1.000,3,26:37,0,0,-20,8,1,0,1
1,1,4,4,0,,0,.571,7,0,,0,24:34,0,3,-7,8,0,1,4
1,0,2,1,0,.000,1,.333,3,0,,0,10:22,0,1,-15,2,1,1,2
1,0,0,0,0,,0,.000,1,0,,0,3:38,0,1,-10,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,2:11,0,0,-4,0,0,1,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
