ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,6,2,0,.000,3,.250,8,0,,0,34:18,0,0,-12,4,1,0,6
4,0,1,3,0,.000,3,.273,11,1,1.000,1,29:58,0,0,-25,7,0,2,1
2,0,6,3,0,.000,1,.333,9,2,1.000,2,28:33,1,2,-26,8,0,1,7
1,1,4,3,0,,0,.375,8,1,1.000,1,26:31,0,2,-21,7,3,1,4
1,1,1,5,0,,0,.625,8,0,,0,26:13,0,3,-16,10,0,0,1
1,0,4,7,1,.125,8,.467,15,5,.714,7,31:10,0,1,-13,20,1,2,4
3,0,1,4,2,.333,6,.400,10,1,.500,2,26:29,0,0,-7,11,2,2,1
2,0,4,4,0,.000,1,.571,7,0,,0,19:55,1,4,+1,8,2,1,5
0,1,0,0,0,,0,.000,2,0,,0,8:51,1,1,+6,0,0,0,1
0,0,0,1,0,.000,1,.500,2,0,,0,4:01,0,0,+4,2,0,1,0
0,0,0,0,0,,0,,0,0,,0,4:01,0,0,+4,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
