ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,1,1,10,5,.500,10,.500,20,3,.750,4,38:38,0,0,+12,28,2,4,1
2,1,9,3,0,.000,3,.273,11,5,1.000,5,38:19,2,1,-7,11,1,0,11
2,0,2,7,2,.222,9,.389,18,3,1.000,3,34:39,0,1,+11,19,2,2,2
3,2,6,6,0,,0,1.000,6,3,.429,7,32:09,5,1,+3,15,1,0,11
1,0,3,2,0,,0,.500,4,0,,0,17:39,2,5,+5,4,0,0,5
2,0,2,7,3,.429,7,.583,12,5,1.000,5,32:10,1,5,-15,22,0,1,3
2,0,5,0,0,.000,5,.000,9,0,,0,25:32,3,1,-10,0,0,1,8
0,0,0,2,0,.000,2,.333,6,0,,0,11:32,0,2,-15,4,0,1,0
1,0,0,1,0,.000,2,.250,4,0,,0,9:22,1,1,-19,2,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
