ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,0,7,3,.300,10,.280,25,2,1.000,2,35:28,4,0,-9,19,0,1,4
1,0,9,6,4,.667,6,.545,11,2,.667,3,34:31,3,2,+1,18,1,1,12
0,0,5,2,0,,0,.222,9,2,1.000,2,31:34,0,2,-19,6,0,0,5
3,0,2,6,2,.400,5,.500,12,1,1.000,1,27:37,2,0,+1,15,1,0,4
4,1,5,0,0,,0,.000,3,0,,0,26:57,1,6,-6,0,0,2,6
5,1,0,7,2,.500,4,.636,11,5,.833,6,27:26,0,0,+14,21,1,1,0
2,0,4,4,3,.600,5,.571,7,2,.667,3,19:45,0,4,+12,13,0,2,4
0,0,1,2,0,,0,1.000,2,1,.500,2,14:47,0,0,+1,5,2,0,1
3,0,0,3,2,1.000,2,.750,4,1,.500,2,12:32,1,1,+13,9,0,1,1
3,0,1,2,0,,0,1.000,2,0,,0,9:23,0,3,+12,4,1,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
