ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
7,0,5,12,2,.286,7,.462,26,8,.889,9,42:01,3,2,+9,34,2,1,8
0,0,12,8,6,.545,11,.444,18,6,1.000,6,37:32,2,2,+2,28,0,2,14
7,0,1,9,2,.333,6,.500,18,4,1.000,4,36:53,1,4,+1,24,0,6,2
1,2,10,3,0,,0,.600,5,0,.000,2,28:56,4,1,+7,6,0,1,14
0,0,0,1,0,.000,1,.500,2,0,,0,10:16,0,0,+5,2,1,1,0
1,0,3,1,1,1.000,1,.500,2,2,.500,4,21:06,2,3,+12,5,0,1,5
1,0,0,1,0,,0,1.000,1,0,,0,20:28,0,5,-12,2,0,0,0
2,0,4,3,2,.400,5,.429,7,2,1.000,2,19:04,1,1,-3,10,0,1,5
1,1,0,2,1,1.000,1,.667,3,0,,0,16:27,0,3,-3,5,1,1,0
1,0,0,0,0,,0,.000,2,0,,0,7:18,0,0,+2,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
