ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,14,0,0,,0,.000,5,3,.750,4,34:17,6,2,+27,3,2,0,20
7,2,4,7,1,.500,2,.700,10,10,.714,14,32:27,2,2,+32,25,1,4,6
6,0,3,9,4,.667,6,.529,17,6,1.000,6,30:27,0,1,+27,28,0,2,3
2,0,2,6,4,.333,12,.375,16,5,1.000,5,27:03,1,0,+27,21,2,2,3
2,0,1,2,2,1.000,2,1.000,2,0,,0,20:40,1,3,+29,6,1,0,2
1,0,6,4,4,.667,6,.500,8,2,1.000,2,23:24,0,4,+3,14,2,3,6
0,0,3,2,1,.500,2,.400,5,0,,0,17:33,0,1,+1,5,0,0,3
1,0,2,1,1,.333,3,.333,3,0,,0,15:08,0,1,+5,3,0,0,2
0,0,0,2,2,.667,3,.500,4,0,,0,13:03,0,2,+2,6,1,0,0
3,0,0,2,0,.000,1,.333,6,0,,0,10:10,0,1,+1,4,0,1,0
0,0,0,3,3,1.000,3,1.000,3,0,,0,7:54,0,1,+3,9,1,0,0
0,1,1,1,0,,0,1.000,1,0,,0,7:54,0,0,+3,2,1,0,1
,,,,,,,,,,,,,,,,,,,
