ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
7,1,9,12,5,.556,9,.480,25,5,.833,6,47:29,3,2,+8,34,1,2,12
5,0,5,8,3,.429,7,.348,23,9,1.000,9,45:13,0,1,+1,28,0,2,5
0,0,2,2,1,.200,5,.286,7,3,1.000,3,35:03,0,2,-4,8,1,1,2
0,1,7,4,0,,0,.571,7,2,.667,3,25:54,5,5,-3,10,1,2,12
0,0,1,2,2,.500,4,.333,6,0,,0,17:25,0,2,0,6,0,0,1
2,0,4,2,1,.250,4,.250,8,1,.500,2,32:36,0,1,+10,6,1,0,4
2,0,2,5,3,.429,7,.455,11,2,1.000,2,24:40,1,4,+12,15,0,0,3
3,0,2,1,1,.500,2,.500,2,0,,0,19:47,0,0,+7,3,1,1,2
0,0,2,1,1,.500,2,.500,2,0,,0,14:27,0,3,+2,3,0,2,2
0,0,0,0,0,,0,,0,1,.500,2,2:26,0,1,-3,1,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
