ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,8,8,4,.500,8,.400,20,8,1.000,8,39:03,2,0,+10,28,0,2,10
9,0,4,12,4,.500,8,.480,25,4,.667,6,35:47,2,1,+17,32,1,1,6
1,0,4,8,3,.750,4,.667,12,1,1.000,1,31:15,0,2,+17,20,0,0,4
0,0,4,4,0,,0,.800,5,3,1.000,3,29:01,2,2,+14,11,1,0,6
3,0,1,2,0,.000,3,.400,5,0,,0,26:07,1,2,+3,4,1,1,2
1,0,2,2,0,.000,2,.333,6,0,,0,21:23,1,5,-2,4,1,1,3
2,1,0,5,2,1.000,2,.833,6,1,.500,2,19:14,0,2,+3,13,2,0,0
1,0,1,1,0,.000,2,.333,3,2,.667,3,18:59,0,2,-2,4,0,1,1
0,0,3,1,1,.500,2,.333,3,2,1.000,2,17:12,0,1,+3,5,0,0,3
0,0,0,0,0,,0,,0,0,,0,1:59,0,0,-3,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
