ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,2,5,2,.250,8,.278,18,8,1.000,8,39:00,2,3,-1,20,1,3,4
3,0,9,4,2,.333,6,.286,14,2,1.000,2,37:09,0,4,-2,12,0,2,9
5,0,5,10,3,.500,6,.500,20,6,.857,7,36:55,1,0,-8,29,4,4,6
1,0,6,5,0,,0,.625,8,2,.400,5,34:41,6,3,+2,12,0,1,12
1,1,1,2,2,.667,3,.500,4,0,,0,18:59,1,2,0,6,1,2,2
0,0,1,1,0,.000,2,.200,5,0,,0,21:17,1,3,-10,2,0,0,2
0,1,2,1,0,.000,3,.167,6,3,1.000,3,18:30,1,2,-12,5,0,1,3
0,0,3,1,0,.000,2,.200,5,0,,0,17:47,0,1,-11,2,0,1,3
0,0,0,0,0,.000,1,.000,2,0,,0,9:52,1,1,-3,0,0,2,1
1,0,0,2,0,,0,.667,3,0,,0,4:56,0,0,+5,4,0,0,0
0,0,0,0,0,,0,,0,0,,0,0:27,0,0,0,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,0:27,0,0,0,0,0,0,0
