ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
7,0,6,11,2,.400,5,.688,16,5,.714,7,45:20,0,5,-16,29,2,7,6
9,0,2,13,3,.375,8,.591,22,0,.000,1,41:02,1,2,+12,29,2,2,3
1,1,7,7,0,,0,.538,13,0,.000,4,38:41,5,2,+14,14,0,1,12
2,0,2,4,3,.600,5,.500,8,0,,0,37:47,1,1,+19,11,2,1,3
3,0,10,4,3,.273,11,.267,15,2,.667,3,35:51,1,3,+26,13,0,3,11
0,0,1,2,2,.667,3,.667,3,0,,0,21:52,1,0,-20,6,0,0,2
0,0,3,2,0,.000,2,.250,8,4,.800,5,16:57,1,0,-21,8,0,1,4
2,0,4,0,0,,0,.000,2,0,,0,15:32,1,2,-14,0,0,3,5
1,0,1,2,0,,0,.500,4,1,.500,2,11:58,0,1,-15,5,1,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
