ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
12,0,8,11,1,.250,4,.524,21,3,.750,4,43:43,2,2,-10,26,2,6,10
4,1,2,15,8,.571,14,.536,28,11,1.000,11,41:38,0,4,+12,49,2,0,2
6,0,10,7,1,.200,5,.467,15,7,.875,8,37:33,6,1,+7,22,0,3,16
2,0,2,4,2,.333,6,.400,10,0,,0,27:58,0,1,-3,10,1,0,2
0,1,5,1,0,,0,.200,5,0,,0,27:51,2,3,-2,2,0,0,7
0,0,4,2,1,.500,2,.500,4,0,,0,26:16,0,0,+7,5,0,0,4
0,0,2,2,1,.333,3,.400,5,0,.000,2,22:09,0,6,0,5,0,1,2
0,0,1,0,0,,0,.000,1,0,,0,7:38,0,1,-14,0,1,1,1
0,1,0,1,1,.333,3,.250,4,0,,0,5:15,1,2,-7,3,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
