ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
9,0,9,9,1,.167,6,.474,19,4,.500,8,37:17,0,0,-8,23,2,5,9
5,0,4,7,1,.125,8,.333,21,3,1.000,3,32:50,1,3,-5,18,2,6,5
0,0,4,1,1,.333,3,.167,6,5,.833,6,30:13,0,1,-3,8,0,0,4
0,0,7,0,0,,0,,0,0,,0,25:30,1,3,-22,0,0,1,8
0,1,2,4,3,1.000,3,.800,5,0,,0,24:40,1,3,-5,11,0,0,3
0,0,2,5,1,.333,3,.556,9,0,,0,29:33,0,3,-11,11,0,1,2
1,0,2,1,1,.500,2,.500,2,1,.500,2,25:37,1,3,-2,4,0,2,3
0,2,5,4,3,.500,6,.500,8,2,1.000,2,19:15,2,1,-2,13,0,2,7
1,0,1,1,0,,0,.500,2,0,,0,7:46,0,0,+7,2,1,0,1
1,0,0,2,0,,0,1.000,2,0,,0,4:00,0,0,+8,4,1,0,0
0,0,0,1,1,1.000,1,1.000,1,0,,0,3:19,0,0,+8,3,0,0,0
,,,,,,,,,,,,,,,,,,,
