ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,0,1,8,2,.286,7,.333,24,5,1.000,5,44:08,0,3,+5,23,1,3,1
17,2,7,12,6,.750,8,.667,18,2,.400,5,42:04,0,6,0,32,2,6,7
3,0,8,11,6,.600,10,.647,17,11,1.000,11,41:43,4,3,+6,39,3,4,12
2,0,6,10,0,,0,.769,13,2,.500,4,41:21,6,1,+6,22,0,0,12
0,0,2,0,0,.000,1,.000,2,0,,0,23:36,0,3,+4,0,0,0,2
2,0,2,4,4,.500,8,.444,9,1,1.000,1,30:19,1,4,-3,13,0,4,3
1,0,2,2,0,.000,1,.500,4,2,1.000,2,21:18,1,1,+8,6,0,0,3
1,0,4,2,1,.333,3,.500,4,0,,0,11:39,0,4,-1,5,0,2,4
0,0,2,0,0,,0,.000,1,0,,0,8:52,0,1,0,0,1,1,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
