ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
12,1,12,8,2,.400,5,.571,14,6,.600,10,37:34,0,3,+12,24,0,4,12
7,0,6,9,2,.250,8,.409,22,2,1.000,2,35:46,3,2,+11,22,1,2,9
2,0,3,5,3,.750,4,.714,7,2,1.000,2,30:36,1,3,+8,15,0,1,4
1,2,10,6,0,,0,.667,9,2,.286,7,27:44,3,0,-2,14,0,1,13
2,1,3,1,1,.250,4,.167,6,0,,0,26:42,1,4,+10,3,0,1,4
4,1,1,4,2,.500,4,.444,9,0,,0,25:00,0,3,+10,10,0,0,1
1,0,1,4,3,.429,7,.500,8,0,,0,20:39,0,0,+2,11,0,0,1
0,0,4,2,0,.000,2,.500,4,1,.500,2,16:29,0,2,+3,5,0,0,4
1,1,2,4,2,.400,5,.571,7,2,1.000,2,16:26,1,1,+10,12,0,0,3
0,0,0,0,0,,0,,0,0,,0,1:32,0,0,-2,0,0,0,0
0,0,1,0,0,,0,,0,0,,0,1:32,0,0,-2,0,0,0,1
,,,,,,,,,,,,,,,,,,,
