ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
8,1,9,11,1,.143,7,.550,20,3,.429,7,39:07,1,0,-3,26,1,4,10
4,0,3,4,4,.571,7,.444,9,0,,0,38:29,0,0,-4,12,1,2,3
3,0,0,7,4,.571,7,.350,20,2,1.000,2,38:16,2,5,-8,20,1,2,2
0,0,7,7,0,,0,.700,10,1,.333,3,35:49,2,3,-5,15,1,2,9
4,2,7,3,0,.000,1,.300,10,2,1.000,2,20:33,3,6,-12,8,0,1,10
1,1,7,2,1,.500,2,.667,3,0,,0,27:54,0,3,+4,5,0,2,7
1,1,1,2,0,.000,2,.250,8,0,,0,22:20,1,4,-2,4,2,1,2
1,0,0,0,0,.000,1,.000,2,0,,0,16:44,0,0,-2,0,0,1,0
0,0,0,1,0,,0,1.000,1,0,,0,0:24,0,0,+1,2,0,0,0
1,0,1,0,0,,0,,0,1,.500,2,0:24,0,1,+1,1,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
