ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
6,2,8,14,1,.250,4,.636,22,7,1.000,7,38:33,2,3,+32,36,1,3,10
5,1,1,7,1,.167,6,.389,18,4,.800,5,32:26,0,4,+14,19,2,0,1
1,0,11,5,1,.200,5,.333,15,4,1.000,4,32:11,5,4,+18,15,0,0,16
0,1,2,5,2,.286,7,.500,10,0,,0,30:47,1,1,+19,12,1,0,3
1,0,5,3,2,.333,6,.429,7,2,1.000,2,17:13,3,3,+6,10,2,1,8
1,0,3,2,1,.333,3,.333,6,0,,0,27:32,1,4,+6,5,0,2,4
0,0,2,2,2,1.000,2,1.000,2,0,,0,19:17,0,3,+19,6,0,0,2
5,1,3,0,0,.000,2,.000,5,0,,0,15:35,0,1,+8,0,0,1,3
0,0,0,3,1,1.000,1,1.000,3,0,,0,10:11,0,0,+5,7,1,0,0
0,0,0,1,0,,0,.500,2,0,,0,4:04,0,2,-3,2,0,2,0
0,0,2,1,0,,0,1.000,1,0,,0,4:04,0,0,-3,2,0,0,2
0,0,0,0,0,,0,,0,0,,0,4:04,0,0,-3,0,0,1,0
0,0,1,0,0,,0,.000,1,0,,0,4:04,1,1,-3,0,0,0,2
