ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
10,0,13,11,1,.333,3,.524,21,9,.900,10,46:50,3,6,+1,32,1,3,16
9,0,2,16,8,.667,12,.533,30,5,.833,6,44:37,0,3,+9,45,1,3,2
5,1,9,4,1,.200,5,.286,14,2,.500,4,42:27,6,5,+11,11,0,4,15
2,0,3,3,3,.300,10,.300,10,0,,0,34:08,1,3,+3,9,0,0,4
0,2,7,5,2,.400,5,.625,8,0,,0,24:14,1,2,+12,12,1,0,8
1,0,2,4,3,.429,7,.444,9,0,,0,28:25,1,3,-7,11,0,0,3
1,0,1,0,0,.000,1,.000,1,0,,0,18:10,1,3,-2,0,1,1,2
0,0,2,1,0,.000,1,.333,3,0,,0,17:46,0,1,-22,2,0,1,2
0,0,1,1,1,.500,2,.500,2,0,,0,8:23,0,1,-10,3,0,2,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
