ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
7,1,2,10,5,.625,8,.556,18,0,,0,40:00,1,4,-9,25,0,6,3
3,0,5,3,2,.200,10,.188,16,5,.833,6,39:37,0,4,-18,13,3,1,5
2,2,8,8,4,.444,9,.421,19,2,1.000,2,38:24,0,1,-1,22,2,2,8
0,0,6,8,3,.500,6,.571,14,0,,0,34:41,3,3,-5,19,0,2,9
3,1,4,3,0,,0,.600,5,0,.000,2,19:40,2,3,-19,6,0,1,6
6,1,2,7,2,.286,7,.412,17,6,1.000,6,39:07,0,1,+2,22,0,3,2
2,1,4,3,1,.167,6,.333,9,0,,0,19:19,1,2,+2,7,0,0,5
1,1,4,0,0,,0,.000,2,0,.000,2,16:29,3,2,+1,0,0,0,7
1,1,3,3,1,.500,2,.750,4,0,,0,15:45,0,6,+8,7,3,0,3
0,0,0,0,0,,0,,0,0,,0,0:56,0,1,-4,0,0,0,0
1,0,0,0,0,,0,,0,0,,0,0:35,0,0,0,0,0,0,0
0,0,1,0,0,,0,,0,0,,0,0:27,0,0,-2,0,0,0,1
,,,,,,,,,,,,,,,,,,,
