ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,3,9,3,.200,15,.360,25,4,1.000,4,40:46,1,6,+4,25,2,1,4
0,0,5,3,0,.000,1,.273,11,4,1.000,4,38:26,0,2,+3,10,0,0,5
3,1,1,4,3,.600,5,.364,11,1,.500,2,31:23,0,1,+2,12,1,2,1
3,0,10,3,0,,0,.429,7,0,.000,2,27:57,5,3,+12,6,0,2,15
2,0,3,0,0,.000,2,.000,4,0,,0,23:48,0,0,-1,0,0,2,3
5,0,2,4,3,.750,4,.400,10,7,1.000,7,31:23,1,0,-4,18,2,1,3
0,0,2,3,1,.500,2,.375,8,1,1.000,1,17:20,1,2,-5,8,2,0,3
0,2,2,3,0,,0,1.000,3,0,,0,16:44,5,3,-12,6,0,1,7
1,0,2,3,1,.500,2,.429,7,0,,0,12:13,0,0,-4,7,1,0,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
