ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,2,11,1,.333,3,.611,18,8,.889,9,39:31,0,3,+7,31,0,1,2
7,0,2,4,1,.250,4,.400,10,0,,0,38:09,1,2,+10,9,2,1,3
8,0,6,7,2,.333,6,.467,15,2,1.000,2,34:18,1,1,+11,18,0,4,7
2,2,7,1,0,.000,1,.200,5,0,,0,29:26,2,1,+20,2,0,3,9
1,0,3,2,1,1.000,1,1.000,2,0,,0,19:40,0,1,-14,5,0,0,3
4,0,3,9,4,.571,7,.600,15,1,.500,2,31:21,1,2,+21,23,3,1,4
0,1,3,5,0,,0,.556,9,0,,0,26:46,1,0,-4,10,5,1,4
0,1,3,4,1,1.000,1,.500,8,2,1.000,2,20:50,2,2,+9,11,1,0,5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
