ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
7,0,5,6,0,.000,5,.316,19,4,.571,7,40:58,3,4,-13,16,0,0,8
9,2,1,4,2,.222,9,.235,17,0,.000,1,35:03,0,3,-19,10,5,3,1
0,0,2,2,1,.250,4,.400,5,2,.500,4,34:37,1,3,-5,7,1,1,3
1,0,6,8,1,.333,3,.400,20,8,1.000,8,33:47,2,1,-11,25,0,0,8
1,0,6,6,0,.000,1,.750,8,2,.667,3,26:17,3,1,-6,14,2,0,9
2,0,1,1,1,.333,3,.250,4,0,,0,24:26,1,0,-20,3,2,2,2
0,0,2,2,0,.000,2,.333,6,2,1.000,2,24:22,1,5,-17,6,0,1,3
0,0,5,2,0,,0,1.000,2,1,1.000,1,14:24,0,2,-12,5,0,0,5
0,0,1,3,1,1.000,1,.600,5,2,1.000,2,6:06,2,1,-2,9,0,0,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
