ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,2,6,0,.000,3,.462,13,0,,0,30:28,3,0,-26,12,0,0,5
3,0,2,2,2,.286,7,.250,8,0,,0,28:47,0,0,-32,6,1,4,2
3,0,5,7,1,.200,5,.389,18,0,,0,27:11,1,3,-27,15,0,1,6
2,0,6,1,0,,0,.333,3,0,.000,1,22:18,5,5,-24,2,2,2,11
5,0,2,2,0,.000,1,.333,6,0,,0,14:55,0,2,-16,4,0,1,2
3,0,4,5,0,.000,6,.385,13,3,1.000,3,26:04,0,3,-26,13,0,3,4
1,0,0,3,2,.400,5,.333,9,0,,0,22:24,0,2,-14,8,0,0,0
5,0,3,1,0,.000,2,.333,3,0,,0,15:36,1,2,-7,2,1,0,4
2,0,1,2,2,.667,3,.667,3,2,1.000,2,14:14,0,0,-5,8,0,1,1
1,1,0,4,1,.500,2,.571,7,1,.500,2,13:51,1,3,-3,10,1,0,1
3,1,1,4,0,.000,1,.667,6,2,1.000,2,12:00,0,1,+3,10,0,1,1
1,2,1,0,0,,0,.000,1,0,,0,6:11,0,0,-14,0,0,0,1
0,0,1,0,0,,0,.000,1,0,.000,2,6:01,0,0,+1,0,0,0,1
