ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,3,4,1,.091,11,.267,15,5,1.000,5,39:26,0,2,-10,14,0,1,3
1,0,8,8,1,.500,2,.400,20,0,,0,37:41,1,1,-12,17,2,1,9
9,0,3,6,1,.143,7,.429,14,1,1.000,1,29:39,0,2,-1,14,0,2,3
0,1,6,1,0,,0,.250,4,1,.500,2,27:20,5,5,-13,3,1,2,11
1,0,2,1,1,.500,2,.250,4,1,.500,2,25:01,0,2,-11,4,0,1,2
4,0,2,5,1,.250,4,.333,15,0,.000,2,26:51,0,2,-5,11,2,2,2
0,1,6,2,0,,0,.500,4,2,1.000,2,24:16,2,6,0,6,1,0,8
0,0,2,4,3,1.000,3,.571,7,4,1.000,4,18:22,1,3,+2,15,0,2,3
1,0,0,1,1,.500,2,.333,3,0,,0,11:24,0,2,0,3,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
