ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,5,7,4,.444,9,.500,14,0,,0,36:34,0,1,-9,18,0,0,5
2,0,5,7,0,.000,3,.500,14,1,1.000,1,34:12,2,0,+1,15,1,1,7
9,0,3,2,1,.200,5,.250,8,1,.500,2,31:35,0,3,-2,6,0,2,3
0,0,2,6,3,.600,5,.545,11,0,.000,1,31:30,2,5,0,15,0,1,4
1,0,4,7,2,.333,6,.438,16,3,.600,5,29:13,0,2,-1,19,2,1,4
0,1,3,2,0,,0,1.000,2,0,,0,19:20,0,2,-3,4,1,2,3
2,0,0,0,0,,0,.000,3,0,,0,16:30,0,2,-4,0,0,0,0
1,0,1,5,3,.500,6,.500,10,0,,0,16:25,0,0,-2,13,0,2,1
1,0,2,1,1,1.000,1,1.000,1,0,,0,11:26,0,3,+5,3,0,0,2
0,1,3,0,0,.000,1,.000,3,2,1.000,2,9:34,1,2,-6,2,0,0,4
0,0,0,0,0,,0,,0,0,,0,3:41,0,0,+1,0,0,0,0
,,,,,,,,,,,,,,,,,,,
