ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,1,4,3,2,.500,4,.429,7,3,.750,4,40:52,1,1,-17,11,4,2,5
2,0,2,13,2,1.000,2,.500,26,3,1.000,3,38:33,0,2,-3,31,1,0,2
4,0,1,4,3,.500,6,.333,12,0,,0,33:42,0,1,-19,11,1,4,1
0,0,2,3,0,,0,.600,5,0,,0,17:28,1,4,-1,6,0,2,3
4,0,1,4,1,1.000,1,.500,8,0,,0,13:02,1,1,+7,9,0,0,2
1,0,4,5,3,.500,6,.455,11,4,1.000,4,24:26,1,2,+3,17,0,0,5
1,0,5,1,0,.000,2,.333,3,0,,0,21:48,1,6,-11,2,0,2,6
2,0,3,2,0,.000,3,.400,5,0,,0,19:38,0,4,-4,4,4,1,3
0,0,3,1,0,,0,.500,2,1,.500,2,16:44,3,5,-10,3,0,1,6
1,1,3,2,0,.000,2,.400,5,0,,0,13:48,0,0,0,4,0,0,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
