ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,0,9,10,4,.444,9,.500,20,0,,0,36:56,1,2,+10,24,1,2,10
7,0,0,3,1,.250,4,.333,9,2,1.000,2,35:36,2,3,+12,9,2,0,2
2,0,2,8,1,.250,4,.400,20,2,1.000,2,35:24,1,1,+10,19,0,0,3
3,0,7,6,2,.400,5,.600,10,3,.750,4,30:53,0,2,+6,17,2,1,7
0,4,8,5,2,.667,3,.455,11,3,1.000,3,28:13,2,1,+10,15,0,2,10
2,0,1,2,1,.333,3,.333,6,2,1.000,2,18:57,0,2,-8,7,1,1,1
0,1,2,2,0,.000,2,.400,5,1,1.000,1,17:14,0,3,-2,5,0,0,2
0,0,2,1,0,,0,1.000,1,2,1.000,2,9:58,0,1,+8,4,0,0,2
1,0,2,0,0,,0,,0,0,,0,8:07,0,3,-11,0,0,0,2
0,0,0,0,0,,0,,0,0,,0,7:41,0,1,-2,0,0,0,0
0,0,1,2,1,.333,3,.500,4,0,,0,6:30,0,0,-7,5,0,0,1
0,0,1,0,0,.000,1,.000,1,0,,0,4:31,0,0,-6,0,0,0,1
