ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
5,1,2,4,2,.400,5,.364,11,5,1.000,5,35:04,0,0,-32,15,2,2,2
1,0,2,6,3,.429,7,.400,15,0,,0,34:05,0,4,-12,15,0,1,2
2,0,4,6,0,.000,2,.545,11,0,,0,34:05,0,1,-12,12,0,2,4
8,0,7,3,1,.333,3,.375,8,3,.750,4,33:59,0,3,-11,10,1,1,7
0,0,6,4,0,.000,1,.500,8,1,.500,2,24:02,0,4,-18,9,3,1,6
2,2,2,6,0,.000,1,.750,8,2,.500,4,25:52,2,1,0,14,2,0,4
5,0,1,0,0,.000,1,.000,4,0,,0,17:21,0,2,+4,0,0,0,1
0,0,0,1,0,.000,1,.333,3,0,,0,13:56,0,0,-12,2,0,2,0
2,0,1,1,1,.250,4,.125,8,0,,0,11:50,1,3,-14,3,0,0,2
0,0,1,1,0,,0,1.000,1,0,,0,6:50,0,0,-4,2,0,1,1
0,0,0,2,1,1.000,1,1.000,2,0,.000,2,2:56,0,0,-4,5,0,0,0
,,,,,,,,,,,,,,,,,,,
