ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,1,3,7,2,.500,4,.438,16,3,.600,5,35:22,0,1,-6,19,1,2,3
3,0,7,5,1,.200,5,.417,12,7,.700,10,35:18,0,3,-5,18,0,0,7
5,0,5,3,2,.400,5,.333,9,0,,0,32:46,0,2,-12,8,2,1,5
3,0,5,7,1,.200,5,.412,17,3,1.000,3,28:33,0,0,0,18,2,1,5
1,0,1,1,0,,0,1.000,1,0,,0,13:25,0,2,+3,2,1,4,1
5,0,2,8,2,.500,4,.727,11,2,1.000,2,32:39,0,5,-14,20,0,2,2
0,0,1,2,1,.333,3,.333,6,4,.800,5,19:15,0,0,-2,9,0,1,1
1,0,2,0,0,,0,.000,1,0,,0,17:27,1,1,-19,0,0,0,3
0,1,7,1,0,,0,.500,2,0,,0,13:32,3,1,0,2,1,1,10
0,0,0,0,0,,0,,0,0,,0,9:31,0,1,-8,0,0,0,0
0,0,0,1,0,,0,1.000,1,0,,0,1:06,0,0,-1,2,0,0,0
0,0,0,0,0,.000,1,.000,1,0,,0,1:06,0,0,-1,0,0,0,0
