ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,4,9,3,.750,4,.474,19,4,1.000,4,38:10,0,1,-6,25,2,3,4
3,0,2,7,5,.625,8,.538,13,2,1.000,2,34:30,2,1,-1,21,2,2,4
9,0,2,5,1,.333,3,.500,10,0,,0,32:20,0,0,-12,11,0,3,2
1,0,8,5,0,.000,6,.417,12,1,1.000,1,27:30,2,4,-10,11,0,4,10
0,1,1,2,1,.200,5,.250,8,0,,0,24:19,1,4,+3,5,2,1,2
0,1,1,3,0,,0,.600,5,0,,0,16:14,1,2,-5,6,1,0,2
1,1,1,1,1,.500,2,.500,2,1,.500,2,15:34,0,2,-1,4,0,2,1
3,0,0,2,2,.500,4,.400,5,0,,0,13:47,0,2,+2,6,0,3,0
0,2,2,0,0,,0,,0,1,.500,2,12:47,1,2,+9,1,3,1,3
0,0,2,0,0,,0,,0,2,1.000,2,11:20,1,0,+2,2,0,0,3
1,0,0,1,1,1.000,1,.333,3,0,,0,9:00,2,1,-6,3,0,1,2
0,0,0,0,0,,0,,0,0,,0,4:29,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
