ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,5,5,2,.667,3,.556,9,3,.600,5,36:13,0,4,-3,15,1,2,5
2,0,5,8,1,1.000,1,.533,15,2,1.000,2,35:37,1,3,-1,19,0,2,6
1,0,1,3,0,.000,5,.333,9,2,1.000,2,30:39,0,0,-4,8,0,1,1
0,0,9,9,3,.500,6,.529,17,2,.667,3,27:20,0,4,+14,23,0,0,9
5,1,2,2,0,.000,1,.400,5,4,1.000,4,21:54,0,3,+1,8,3,1,2
7,0,1,8,1,.250,4,.667,12,3,.600,5,26:32,0,2,+6,20,2,2,1
1,1,4,0,0,,0,,0,0,,0,21:01,0,4,-10,0,1,1,4
1,0,2,4,1,.500,2,.667,6,2,1.000,2,16:59,0,1,+13,11,1,1,2
0,1,1,2,2,.667,3,.667,3,0,,0,12:10,0,1,+9,6,0,0,1
0,0,1,0,0,,0,,0,1,.500,2,11:36,1,2,+10,1,0,0,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
