ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,7,4,2,.250,8,.364,11,1,.500,2,33:42,0,2,-15,11,0,2,7
5,0,4,4,2,.250,8,.333,12,3,.750,4,33:12,3,1,-11,13,2,4,7
1,0,2,4,1,.500,2,.400,10,2,1.000,2,28:06,0,0,+3,11,0,0,2
5,1,0,3,1,.167,6,.333,9,0,,0,24:36,0,1,0,7,0,3,0
2,2,8,3,0,,0,.750,4,3,.750,4,20:42,2,1,-5,9,2,1,10
0,3,5,3,1,.333,3,.500,6,2,1.000,2,26:23,1,4,-6,9,1,2,6
0,2,0,3,1,.250,4,.375,8,0,,0,22:54,1,1,-7,7,3,1,1
1,0,1,2,0,.000,3,.250,8,0,,0,20:49,1,1,-14,4,1,1,2
4,0,4,3,3,.500,6,.429,7,0,,0,14:48,0,0,0,9,0,2,4
2,0,0,3,1,.333,3,.600,5,0,,0,14:48,0,2,0,7,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
