ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,2,8,3,.500,6,.500,16,2,1.000,2,32:12,2,2,-14,21,0,2,4
3,0,4,2,0,.000,2,.222,9,2,1.000,2,30:09,7,4,-13,6,1,0,11
3,0,3,4,1,.500,2,.333,12,2,1.000,2,20:06,0,2,-1,11,0,1,3
2,0,1,3,1,.125,8,.300,10,0,,0,19:06,0,1,-9,7,0,1,1
2,0,0,1,0,,0,.500,2,1,1.000,1,9:27,1,1,-3,3,1,0,1
5,0,5,4,2,.200,10,.333,12,1,.500,2,33:04,0,4,-8,11,0,1,5
2,1,5,8,4,.500,8,.571,14,1,.333,3,32:28,0,2,+1,21,2,2,5
1,0,4,4,2,.667,3,.500,8,2,.667,3,26:48,5,3,-13,12,1,1,9
0,1,1,2,0,.000,1,.286,7,1,.500,2,18:57,0,2,-8,5,0,1,1
0,0,1,2,0,,0,1.000,2,1,.500,2,9:11,2,1,+2,5,0,0,3
1,0,1,3,3,.600,5,.600,5,0,,0,8:32,0,1,+1,9,0,1,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
