ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,6,4,4,.500,8,.500,8,3,1.000,3,36:38,2,2,+6,15,2,3,8
0,0,2,2,2,.222,9,.182,11,6,1.000,6,34:22,1,4,-6,12,1,2,3
5,0,5,3,1,.200,5,.333,9,0,,0,30:52,0,2,+2,7,1,1,5
5,1,1,2,1,.250,4,.222,9,2,.667,3,28:14,0,3,-5,7,1,2,1
0,1,6,4,0,,0,.500,8,2,1.000,2,22:38,1,0,-11,10,1,2,7
0,0,4,3,0,.000,1,.500,6,2,.667,3,24:37,3,3,+7,8,2,0,7
8,0,2,6,0,.000,5,.500,12,3,.750,4,19:48,0,0,+11,15,1,1,2
1,1,1,4,0,.000,1,.667,6,3,.750,4,19:07,0,0,+15,11,0,0,1
0,2,1,3,0,,0,.750,4,3,.750,4,12:00,0,2,+11,9,0,1,1
0,0,1,2,1,1.000,1,1.000,2,1,.500,2,11:44,1,3,+5,6,0,0,2
