ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,4,4,0,.000,5,.250,16,9,.900,10,41:33,1,0,0,17,0,2,5
3,1,5,4,0,.000,2,.308,13,8,1.000,8,40:57,1,3,+1,16,0,1,6
4,0,7,7,2,.500,4,.350,20,5,.833,6,38:19,0,3,+3,21,3,5,7
2,1,11,10,1,.200,5,.500,20,2,.667,3,34:06,6,5,-1,23,4,1,17
1,1,5,4,0,,0,.444,9,4,.667,6,22:32,4,2,+3,12,0,2,9
2,2,6,2,0,,0,.500,4,3,.750,4,30:23,3,3,-5,7,2,2,9
1,0,6,5,1,.333,3,.455,11,0,.000,2,30:16,1,1,-1,11,0,3,7
2,0,0,2,2,.500,4,.400,5,0,,0,15:06,0,3,-5,6,0,1,0
2,0,1,0,0,,0,.000,2,0,,0,11:48,0,1,-5,0,1,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
