ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,5,6,4,.571,7,.667,9,3,1.000,3,36:59,0,1,-3,19,0,1,5
3,0,6,4,0,.000,4,.222,18,4,1.000,4,32:53,0,3,-5,12,5,6,6
4,0,3,0,0,.000,4,.000,8,0,,0,29:27,0,2,+5,0,0,1,3
1,1,3,7,0,,0,.538,13,4,.571,7,26:47,2,4,+13,18,2,1,5
5,0,2,3,0,,0,1.000,3,2,.500,4,14:26,1,3,+7,8,0,1,3
7,0,6,5,2,.500,4,.500,10,2,1.000,2,33:40,1,2,+6,14,1,5,7
0,0,4,8,0,.000,2,.667,12,3,.600,5,27:29,2,3,+1,19,1,2,6
1,1,4,4,0,,0,1.000,4,0,,0,19:07,1,2,-9,8,1,2,5
0,0,2,1,0,,0,1.000,1,0,,0,10:40,0,2,+5,2,0,1,2
1,0,2,1,0,.000,1,.333,3,0,,0,8:32,0,2,-5,2,0,0,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
