ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,4,6,4,.500,8,.545,11,1,.500,2,31:45,1,1,-24,17,0,1,5
3,0,3,5,1,.250,4,.385,13,2,.500,4,28:09,1,2,-26,13,0,2,4
1,0,3,0,0,.000,5,.000,9,0,,0,26:03,2,2,-24,0,1,2,5
1,0,4,4,0,.000,2,.571,7,1,.500,2,20:43,2,3,-21,9,0,2,6
1,0,1,1,1,.500,2,.167,6,0,,0,18:31,1,0,-28,3,1,1,2
2,0,4,9,2,.400,5,.600,15,2,.667,3,32:27,1,2,+10,22,2,1,5
1,0,7,5,0,.000,1,.556,9,5,.833,6,27:17,4,1,+4,15,1,0,11
5,1,3,3,2,.250,8,.333,9,0,.000,1,26:55,2,0,+12,8,0,0,5
6,0,1,4,1,.333,3,.571,7,0,,0,21:57,0,4,+7,9,0,3,1
0,0,1,2,0,.000,1,.500,4,2,1.000,2,6:13,1,0,+5,6,0,0,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
