ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,1,3,8,3,.375,8,.500,16,2,.667,3,37:15,1,2,-4,21,2,3,4
4,0,7,7,2,.286,7,.467,15,3,.750,4,32:04,1,3,-9,19,2,1,8
3,0,1,5,0,.000,3,.417,12,1,.500,2,31:09,3,3,-10,11,2,0,4
4,0,2,4,0,.000,3,.364,11,0,,0,30:40,0,2,-8,8,1,1,2
5,0,5,8,1,.500,2,.471,17,4,1.000,4,24:48,8,2,-5,21,1,2,13
4,0,5,6,2,.400,5,.545,11,0,,0,26:46,2,2,+4,14,0,2,7
4,1,6,6,0,,0,.750,8,3,.750,4,21:07,0,3,-4,15,1,1,6
3,0,3,2,1,.200,5,.286,7,0,,0,18:51,1,0,-4,5,1,0,4
4,0,0,2,0,.000,2,.500,4,1,1.000,1,17:20,0,4,0,5,0,4,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
