ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,7,5,0,.000,4,.278,18,5,1.000,5,35:17,0,4,-25,15,1,0,7
1,0,5,6,3,.600,5,.545,11,6,1.000,6,28:19,2,3,-23,21,1,2,7
4,0,0,0,0,.000,4,.000,9,0,,0,25:58,1,2,-24,0,1,2,1
0,1,4,5,0,,0,.357,14,1,.250,4,25:54,5,2,-11,11,3,2,9
1,0,3,4,2,.500,4,.444,9,0,,0,24:07,1,4,-6,10,1,1,4
2,2,8,10,2,.500,4,.556,18,2,.500,4,31:53,0,2,0,24,0,2,8
8,0,0,5,2,.667,3,.500,10,1,.333,3,22:02,1,2,+9,13,0,2,1
1,0,6,2,0,,0,.400,5,0,,0,18:49,4,3,-3,4,0,1,10
1,1,1,1,0,,0,.500,2,2,1.000,2,14:01,0,0,-4,4,0,0,1
0,0,4,2,0,,0,.667,3,0,,0,13:40,1,1,+12,4,0,0,5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
