ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,1,4,3,1,.250,4,.333,9,1,.500,2,38:25,2,3,-16,8,1,1,6
4,2,8,14,2,.500,4,.636,22,5,1.000,5,37:35,4,2,-17,35,0,3,12
7,2,3,5,1,.200,5,.417,12,7,1.000,7,35:35,0,3,-16,18,0,3,3
2,0,1,4,2,.500,4,.400,10,2,1.000,2,25:48,0,2,-18,12,2,3,1
1,0,6,2,0,,0,.286,7,1,.500,2,24:50,3,1,-18,5,0,2,9
9,1,2,2,1,.250,4,.286,7,0,,0,26:59,0,4,+5,5,2,1,2
2,0,5,4,2,.250,8,.267,15,3,1.000,3,25:54,1,2,+2,13,0,0,6
0,1,1,2,0,,0,.400,5,1,.200,5,13:32,0,1,+4,5,0,1,1
1,0,2,1,1,.500,2,.250,4,0,,0,11:23,1,1,+4,3,0,1,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
