ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,7,9,3,.600,5,.643,14,11,1.000,11,37:28,1,0,+10,32,0,1,8
2,2,11,6,0,,0,.667,9,9,.818,11,36:39,3,3,+21,21,2,0,14
4,0,6,6,1,.167,6,.400,15,2,.667,3,35:11,1,4,+12,15,2,0,7
6,0,3,4,2,.333,6,.444,9,7,.875,8,33:20,0,5,+3,17,1,2,3
0,0,4,2,0,,0,.500,4,1,1.000,1,15:29,0,3,+8,5,0,3,4
1,1,1,7,1,.500,2,.700,10,3,1.000,3,23:21,0,2,+11,18,0,2,1
0,0,2,2,0,.000,2,.200,10,2,1.000,2,23:15,1,1,-1,6,1,1,3
3,0,4,2,0,.000,2,.400,5,2,.667,3,20:19,1,4,-1,6,1,3,5
0,0,1,1,1,.500,2,.250,4,0,,0,14:58,2,3,-8,3,0,2,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
