ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,5,9,4,.571,7,.529,17,2,.400,5,36:10,3,6,-11,24,2,3,8
3,0,6,8,2,.667,3,.471,17,0,,0,34:16,9,4,-12,18,0,0,15
3,0,1,5,1,.125,8,.357,14,2,.667,3,34:08,0,2,-14,13,2,2,1
8,0,0,2,2,.400,5,.250,8,0,,0,30:35,1,3,-12,6,1,1,1
1,0,1,0,0,,0,.000,2,1,.500,2,9:52,1,1,-3,1,0,0,2
7,2,4,6,0,.000,9,.316,19,5,.714,7,38:16,3,0,-7,17,3,1,7
0,1,4,4,1,.200,5,.444,9,2,1.000,2,21:59,1,2,+3,11,0,0,5
1,1,2,4,2,.500,4,.400,10,0,,0,20:30,2,1,+4,10,0,2,4
0,0,5,2,1,.333,3,.500,4,1,.500,2,14:06,1,1,-3,6,0,1,6
0,0,0,0,0,,0,,0,0,,0,0:04,0,0,0,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,0:04,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
