ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,2,9,5,.455,11,.474,19,0,,0,34:36,0,1,-8,23,2,1,2
4,0,4,5,0,.000,3,.556,9,5,1.000,5,30:17,1,2,+4,15,1,2,5
6,0,4,5,2,.500,4,.556,9,0,,0,29:29,0,3,-4,12,5,1,4
2,0,9,2,0,.000,2,.286,7,0,,0,25:33,2,3,+5,4,0,1,11
1,1,1,1,0,,0,.143,7,0,,0,13:57,3,2,+4,2,0,3,4
5,1,1,7,2,.400,5,.467,15,0,,0,32:13,1,1,-27,16,0,3,2
1,0,8,7,3,.429,7,.538,13,1,.500,2,28:51,2,3,-19,18,0,2,10
1,0,2,3,0,,0,1.000,3,4,.571,7,22:27,1,3,-21,10,2,3,3
2,0,2,0,0,.000,3,.000,6,0,,0,18:31,0,0,-12,0,0,0,2
0,0,0,0,0,,0,,0,0,,0,2:13,0,0,-1,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,1:53,0,0,-1,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
