ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
4,0,2,7,1,.200,5,.583,12,0,,0,35:51,2,1,+9,15,2,0,4
10,1,14,6,3,1.000,3,.600,10,4,1.000,4,32:44,2,1,+19,19,0,3,16
0,0,2,7,3,.750,4,.700,10,5,.833,6,32:20,1,2,+3,22,1,0,3
1,0,2,5,2,.667,3,.833,6,0,,0,30:04,0,4,+16,12,0,3,2
1,1,2,6,1,.200,5,.462,13,7,.875,8,28:42,1,1,+16,20,0,2,3
3,0,8,7,1,.200,5,.467,15,0,,0,29:04,0,1,+14,15,3,5,8
5,0,6,3,0,,0,.600,5,0,,0,22:36,0,4,+15,6,0,1,6
2,0,2,4,2,.400,5,.444,9,4,1.000,4,17:56,0,1,+2,14,0,1,2
0,0,1,0,0,,0,,0,2,1.000,2,7:13,0,1,+2,2,0,1,1
0,0,0,0,0,,0,,0,0,,0,1:45,0,0,-3,0,0,0,0
0,0,0,0,0,,0,,0,0,,0,1:45,0,0,-3,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
