ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
2,0,5,11,3,.429,7,.579,19,4,1.000,4,37:06,1,1,+12,29,0,1,6
2,0,2,3,0,.000,5,.300,10,3,.750,4,36:46,1,1,+6,9,2,1,3
7,0,9,9,0,.000,2,.563,16,1,1.000,1,35:11,1,2,+15,19,2,1,10
0,1,3,3,1,.333,3,.429,7,2,1.000,2,27:55,0,3,-1,9,3,3,3
2,1,2,4,0,,0,.444,9,0,,0,23:01,1,2,-8,8,2,0,3
9,1,4,4,0,,0,.444,9,9,.900,10,31:30,0,2,+3,17,0,2,4
2,1,7,8,1,.333,3,.615,13,2,1.000,2,31:02,2,1,+4,19,0,0,9
1,2,2,2,0,,0,.500,4,2,.500,4,12:39,0,2,-12,6,0,0,2
0,0,0,0,0,,0,,0,0,,0,4:50,0,0,-4,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
