ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,0,5,8,3,.375,8,.500,16,4,1.000,4,38:08,0,1,+9,23,0,2,5
9,1,16,6,0,.000,5,.353,17,0,,0,33:52,3,3,+8,12,5,2,19
5,0,2,3,2,.333,6,.333,9,0,,0,32:20,0,4,-1,8,0,3,2
1,0,2,8,1,.250,4,.571,14,0,.000,1,30:05,1,3,-10,17,1,0,3
1,0,1,4,0,,0,.571,7,2,1.000,2,13:18,1,1,+3,10,0,0,2
0,0,3,6,1,.200,5,.333,18,3,.600,5,34:10,2,6,-8,16,0,2,5
4,1,2,3,0,.000,6,.231,13,2,1.000,2,25:35,1,0,-7,8,2,0,3
3,0,4,1,0,.000,3,.200,5,4,1.000,4,15:40,2,2,-5,6,1,2,6
0,3,4,2,0,,0,.500,4,0,,0,14:08,2,4,-14,4,1,1,6
0,0,0,0,0,.000,1,.000,1,0,,0,2:44,0,0,-5,0,0,0,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
