ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
8,0,6,6,4,.571,7,.600,10,4,.667,6,35:01,2,1,+19,20,1,3,8
0,1,6,8,0,,0,.571,14,0,,0,33:31,3,3,+11,16,1,4,9
10,0,2,4,2,.250,8,.286,14,0,,0,32:46,0,2,+3,10,1,2,2
4,0,7,3,1,.333,3,.500,6,0,,0,19:35,1,2,-7,7,0,1,8
0,0,4,3,1,.500,2,.500,6,2,.500,4,14:39,1,0,+2,9,0,0,5
2,0,3,6,2,.286,7,.500,12,2,1.000,2,31:57,2,2,+19,16,2,0,5
6,0,7,3,2,.667,3,.750,4,0,,0,28:31,0,2,+24,8,1,3,7
1,0,6,5,3,.600,5,.556,9,1,.500,2,26:32,0,1,+11,14,1,2,6
0,0,2,3,3,.429,7,.333,9,0,,0,17:28,1,1,+8,9,0,1,3
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
