ast,blk,date_game,drb,fg,fg3,fg3a,fga,ft,fta,game_location,game_result,game_start_time,game_streak,losses,opp_name,opp_pts,orb,overtimes,pf,plus_minus,pts,stl,tov,trb,wins
18.0,4.0,"Wed, Oct 26, 2016",47.0,37.0,8.0,24.0,83.0,25.0,33.0,@,W,8:00p,W 1,0,New Orleans Pelicans,102,11.0,,22.0,25.0,107,7.0,24.0,58.0,1
19.0,5.0,"Sat, Oct 29, 2016",45.0,38.0,6.0,23.0,100.0,31.0,39.0,,L,9:00p,L 1,1,Portland Trail Blazers,115,16.0,OT,21.0,-10.0,113,10.0,17.0,61.0,1
14.0,9.0,"Mon, Oct 31, 2016",35.0,33.0,9.0,22.0,81.0,27.0,35.0,@,L,7:30p,L 2,2,Toronto Raptors,105,11.0,,18.0,-15.0,102,2.0,8.0,46.0,1
24.0,2.0,"Thu, Nov 3, 2016",37.0,39.0,6.0,22.0,81.0,18.0,25.0,@,W,8:00p,W 1,2,Minnesota Timberwolves,99,7.0,,24.0,15.0,102,10.0,20.0,44.0,2
15.0,2.0,"Sat, Nov 5, 2016",32.0,31.0,7.0,25.0,94.0,17.0,20.0,@,L,7:00p,L 1,3,Detroit Pistons,103,16.0,,15.0,-85.0,86,8.0,16.0,48.0,2
21.0,6.0,"Sun, Nov 6, 2016",38.0,44.0,11.0,23.0,84.0,24.0,31.0,@,W,7:30p,W 1,3,Boston Celtics,107,9.0,,23.0,80.0,123,7.0,17.0,47.0,3
24.0,4.0,"Tue, Nov 8, 2016",33.0,35.0,10.0,24.0,70.0,27.0,34.0,@,L,8:00p,L 1,4,Memphis Grizzlies,108,6.0,,23.0,-5.0,107,6.0,22.0,39.0,3
26.0,3.0,"Thu, Nov 10, 2016",27.0,38.0,13.0,36.0,94.0,12.0,17.0,,L,9:00p,L 2,5,Golden State Warriors,125,17.0,,18.0,-120.0,101,7.0,18.0,44.0,3
15.0,4.0,"Sat, Nov 12, 2016",28.0,36.0,9.0,25.0,84.0,14.0,19.0,,L,9:00p,L 3,6,Detroit Pistons,106,14.0,,14.0,-55.0,95,6.0,15.0,42.0,3
11.0,6.0,"Sun, Nov 13, 2016",43.0,36.0,11.0,29.0,91.0,22.0,29.0,@,L,9:00p,L 4,7,Portland Trail Blazers,112,16.0,,25.0,-35.0,105,4.0,18.0,59.0,3
