ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
0,0,3,5,0,.000,3,.385,13,2,1.000,2,29:54,0,1,-29,12,0,1,3
1,1,1,5,0,.000,1,.556,9,0,,0,25:34,1,1,-33,10,0,2,2
0,1,8,6,0,,0,.600,10,3,.600,5,24:52,4,3,-28,15,2,3,12
3,0,1,1,0,,0,.111,9,0,,0,23:39,0,3,-24,2,0,2,1
0,0,1,0,0,,0,.000,6,1,.333,3,23:03,0,2,-30,1,0,0,1
3,0,4,6,1,.333,3,.600,10,1,.500,2,28:32,2,3,-8,14,0,2,6
3,0,3,4,2,.667,3,.571,7,1,.500,2,24:57,1,1,-2,11,1,0,4
2,0,1,1,1,1.000,1,.125,8,2,1.000,2,24:21,1,2,-8,5,1,0,2
0,0,4,1,0,,0,.250,4,0,.000,1,14:43,0,2,-9,2,1,1,4
2,0,2,0,0,.000,1,.000,2,3,.750,4,12:00,0,0,+6,3,0,0,2
0,0,0,1,0,,0,.250,4,5,1.000,5,8:25,2,1,+5,7,0,0,2
,,,,,,,,,,,,,,,,,,,
