ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
1,0,5,9,5,.500,10,.409,22,4,.800,5,41:40,1,3,+1,27,1,1,6
2,0,3,5,1,.250,4,.385,13,5,1.000,5,39:48,0,3,-9,16,2,1,3
4,1,10,7,0,,0,.538,13,4,.667,6,35:05,4,5,-15,18,1,2,14
7,2,2,3,0,.000,1,.231,13,3,.750,4,32:16,1,2,-8,9,4,2,3
2,2,3,3,1,.500,2,.250,12,2,1.000,2,31:52,0,1,-8,9,1,2,3
1,0,7,3,2,.500,4,.375,8,3,1.000,3,24:20,2,3,+3,11,0,0,9
3,0,1,0,0,.000,1,.000,5,1,1.000,1,15:42,0,2,+2,1,1,2,1
0,0,1,0,0,,0,,0,3,.750,4,12:55,1,5,+8,3,1,0,2
0,0,0,2,0,,0,.667,3,2,1.000,2,6:21,0,0,-9,6,0,1,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
