ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
3,1,3,8,1,.500,2,.533,15,2,1.000,2,36:16,1,1,+17,19,2,2,4
2,0,1,4,1,.200,5,.364,11,5,.833,6,35:15,0,2,+22,14,2,1,1
3,0,1,8,1,.167,6,.533,15,0,,0,34:16,0,1,+6,17,2,0,1
8,0,2,5,0,,0,.417,12,0,,0,29:24,1,4,+10,10,2,4,3
0,0,7,7,0,,0,.636,11,0,.000,2,26:41,5,4,+6,14,2,0,12
0,0,7,7,0,.000,1,.583,12,0,,0,26:23,3,2,+2,14,1,0,10
1,0,2,1,0,,0,.500,2,2,1.000,2,20:24,0,1,+2,4,0,1,2
5,0,0,4,1,.333,3,.571,7,0,,0,17:31,0,0,0,9,0,0,0
1,0,3,2,0,.000,1,.400,5,1,.500,2,13:50,1,1,-10,5,0,1,4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
