ast,blk,drb,fg,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,mp,orb,pf,plus_minus,pts,stl,tov,trb
10,0,1,5,4,.667,6,.455,11,2,1.000,2,35:11,0,2,+8,16,1,2,1
7,0,2,6,2,1.000,2,.462,13,2,1.000,2,34:11,0,1,+9,16,1,0,2
3,0,3,7,1,.333,3,.636,11,0,,0,29:04,0,2,0,15,0,0,3
1,0,6,8,0,,0,.727,11,0,.000,2,26:27,4,4,+10,16,3,2,10
0,0,3,8,1,.500,2,.615,13,0,,0,22:09,0,4,+18,17,0,2,3
4,0,9,5,1,.250,4,.417,12,0,,0,33:21,2,3,+7,11,1,1,11
0,0,4,2,0,,0,.286,7,0,,0,21:04,2,4,+1,4,0,1,6
1,0,2,4,0,.000,1,.667,6,1,1.000,1,19:11,1,2,-1,9,1,2,3
0,0,2,2,0,.000,1,.333,6,0,,0,13:49,0,0,+2,4,0,0,2
0,0,1,0,0,,0,,0,0,,0,5:32,0,0,+1,0,0,0,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
